M,mean_profit,mean_sales,mean_lost,mean_disposal_cost
800,879.62,799.96,579.975,0.16
900,1661.44,898.805,481.055,4.78
1000,2308.42,989.235,390.6,43.06
1100,2338.78,1040.85,337.855,236.6
1200,1874.12,1062.165,317.965,551.34
1300,1133.26,1066.085,314.94,935.66
1400,233.02,1059.57,320.455,1361.72
1500,-558.64,1058.81,316.09,1764.76
1600,-1381.32,1059.145,322.765,2163.42
1700,-2154.62,1059.73,317.845,2561.08
1800,-2908.14,1063.005,316.05,2947.98
1900,-3547.46,1073.815,308.31,3304.74
2000,-4519.76,1062.725,318.115,3749.1
