R_max,mean_profit,mean_sales,mean_lost
2,-7848.98,353.585,1023.0
3,-7385.96,382.695,994.575
4,-6890.08,414.3,965.42
5,-6558.7,435.67,946.685
6,-6016.76,467.755,907.455
7,-5546.86,499.355,884.78
8,-5056.68,529.045,851.305
9,-4573.7,558.06,817.605
10,-4269.68,577.315,799.365
11,-3805.42,606.495,770.84
12,-3372.68,634.115,745.515
13,-2999.42,656.755,720.12
14,-2530.6,687.195,694.235
15,-2047.6,716.305,660.815
16,-1668.3,740.71,639.205
17,-1342.56,760.095,615.925
18,-985.36,782.92,595.1
19,-514.3,811.515,563.12
20,-60.58,840.3,536.045
21,377.8,867.13,506.94
22,691.92,889.305,494.935
23,1015.32,908.055,470.335
24,1271.68,924.1,454.38
25,1487.02,938.805,444.66
26,1796.64,956.83,421.33
27,1887.52,962.385,415.275
28,2147.4,977.98,397.09
29,2206.42,983.49,398.865
30,2262.34,985.92,392.175
