Time (minute),From,To,Refill Quantity,Action,Truck Payload After,Distance
1,1,1,30,deliver,770,0.0
2,1,1,11,deliver,759,0.0
19,1,4,30,deliver,729,9.0
26,4,10,30,deliver,699,3.0
36,10,6,30,deliver,669,5.0
43,6,7,30,deliver,639,3.0
48,7,9,30,deliver,609,2.0
53,9,5,30,deliver,579,2.0
70,5,2,30,deliver,549,9.0
87,2,10,30,deliver,519,9.0
99,10,3,30,deliver,489,6.0
111,3,5,30,deliver,459,6.0
114,5,6,30,deliver,429,1.0
124,6,10,30,deliver,399,5.0
132,10,9,30,deliver,369,4.0
137,9,7,30,deliver,339,2.0
156,7,1,30,deliver,309,10.0
171,1,10,30,deliver,279,8.0
181,10,6,30,deliver,249,5.0
184,6,9,30,deliver,219,1.0
206,9,1,30,deliver,189,12.0
221,1,10,30,deliver,159,8.0
229,10,5,30,deliver,129,4.0
234,5,7,30,deliver,99,2.0
239,7,9,30,deliver,69,2.0
261,9,1,30,deliver,39,12.0
281,1,6,30,deliver,9,11.0
291,6,10,9,deliver,0,5.0
299,10,9,-10,pickup,10,4.0
314,9,3,10,deliver,0,8.0
327,3,6,-5,pickup,5,7.0
346,6,2,5,deliver,0,10.0
351,2,1,-2,pickup,2,2.0
